"","Tranche2CDSValue_0.0005","Tranche2CDSValue_0.0008","Tranche2CDSValue_0.0012","Tranche2CDSValue_0.0016","Tranche2CDSValue_0.0028","Date"
"126",884069.032772313,-314314.05325619,-1912158.16796086,-3510002.28266553,-8303534.62677954,2005-07-12
"127",897420.072540608,-305600.074608139,-1909626.93747313,-3513653.80033813,-8325734.38893312,2005-07-13
"128",929009.649277742,-282600.101267124,-1898079.76866028,-3513559.43605343,-8359998.43823289,2005-07-14
"129",968256.799921857,-245661.072786726,-1864218.23639817,-3482775.40000961,-8338446.89084395,2005-07-15
"130",957211.850627852,-258290.793351982,-1878960.98532509,-3499631.1772982,-8361641.75321754,2005-07-18
"131",963780.819720545,-254042.114718149,-1877806.02730307,-3501569.939888,-8372861.67764278,2005-07-19
"132",939596.514570345,-279949.367235424,-1906010.54297645,-3532071.71871748,-8410255.24594055,2005-07-20
"133",907092.905921795,-310888.850611232,-1934864.5259886,-3558840.20136597,-8430767.22749808,2005-07-21
"134",846702.383051548,-371514.525618341,-1995803.73717819,-3620092.94873804,-8492960.5834176,2005-07-22
"135",798212.096022469,-425286.902008628,-2056618.89938342,-3687950.89675822,-8581946.88888261,2005-07-25
"136",720562.644609486,-506170.130523481,-2141813.83070077,-3777457.53087806,-8684388.63140993,2005-07-26
"137",672563.929091407,-559471.767753191,-2202186.03021265,-3844900.29267212,-8773043.08005051,2005-07-27
"138",579190.372083912,-663531.388048725,-2320493.73489224,-3977456.08173576,-8948343.1222663,2005-07-28
"139",531581.850452457,-716182.538608577,-2379868.39068996,-4043554.24277134,-9034611.79901547,2005-07-29
"140",450142.325120739,-789688.256610347,-2442795.69891846,-4095903.14122658,-9055225.46815092,2005-08-02
"141",375870.188658879,-858756.283706525,-2504924.91352706,-4151093.5433476,-9089599.43280922,2005-08-03
"142",290331.572762099,-935264.415533096,-2569392.39992669,-4203520.38432028,-9105904.33750106,2005-08-04
"143",258842.537729019,-957977.429881033,-2580404.0533611,-4202830.67684117,-9070110.54728138,2005-08-05
"144",194781.525044896,-1025102.12558566,-2651613.65975973,-4278125.19393381,-9157659.79645603,2005-08-08
"145",179250.772178875,-1042014.40148168,-2670367.96636243,-4298721.53124318,-9183782.22588541,2005-08-09
"146",172315.7261501,-1050829.66978013,-2681690.19768711,-4312550.72559408,-9205132.30931501,2005-08-10
"147",172644.783645883,-1050393.12849801,-2681110.34468987,-4311827.56088173,-9203979.2094573,2005-08-11
"148",177914.51657925,-1046789.03499855,-2679727.10376895,-4312665.17253935,-9211479.37885056,2005-08-12
"149",200588.327536626,-1014599.0312026,-2634848.84285489,-4255098.65450719,-9115848.08946407,2005-08-15
"150",238576.272378992,-976716.961504818,-2597107.94001656,-4217498.91852831,-9078671.85406355,2005-08-16
"151",252199.599537708,-960619.852164928,-2577712.45443511,-4194805.05670529,-9046082.86351584,2005-08-17
"152",264972.158275332,-950088.373724273,-2570169.08305708,-4190249.79238989,-9050491.92038831,2005-08-18
"153",275091.277027089,-941395.477576517,-2563377.81704799,-4185360.15651947,-9051307.17493389,2005-08-19
"154",282052.283673924,-948857.348812547,-2590070.19212784,-4231283.03544314,-9154921.56538902,2005-08-22
"155",294642.746036102,-944727.843319379,-2597221.96246002,-4249716.08160066,-9207198.43902258,2005-08-23
"156",342547.887602216,-899350.58919249,-2555215.22491876,-4211079.86064504,-9178673.76782386,2005-08-24
"157",373434.766708158,-865993.353825578,-2518564.18120389,-4171135.00858221,-9128847.49071715,2005-08-25
"158",411679.789008355,-832572.99844954,-2491576.71506007,-4150580.43167059,-9127591.58150217,2005-08-26
"159",486636.635663303,-744597.370915205,-2386242.71301988,-4027888.05512456,-8952824.08143859,2005-08-29
"160",515610.611214815,-709293.355487379,-2342498.64442364,-3975703.93335989,-8875319.80016867,2005-08-30
"161",557320.766718568,-663537.574488566,-2291348.69609808,-3919159.81770759,-8802593.18253612,2005-08-31
"162",593009.107596036,-630011.986488585,-2260706.77860141,-3891401.57071424,-8783485.94705272,2005-09-01
"163",627994.161638755,-584477.389013254,-2201106.12321593,-3817734.85741861,-8667621.06002665,2005-09-02
